600.0       !temperature (K) uncertain
10000       !PKA energy (eV)
15          !Average number of displaced atoms per cascade (used for dpa calculation)
9           !number of cascades

16      !number of defects
10      !number of displaced atoms
10.7298008	-19.7414013	-0.8917329 V1
0	1	0	0
-9.3561977	11.8955998	1.8702681 V1
0	1	0	0
2.0778004	-14.0533978	4.9092696 V1
0	1	0	0
6.3887974	15.9876026	3.4312728 V1
0	1	0	0
-0.9072002	26.1205982	1.9452727 V1
0	1	0	0
1.9528004	-8.474403	10.6002716 V1
0	1	0	0
4.9328037	32.0546039	-18.3347336 V1
0	1	0	0
13.562801	-34.1734004	22.2202666 V1

26
15
0	0	1	0		
-17.1550012	-41.3297022	3.20742965 I1
0	0	2	0
-36.57074978	-10.44195163	5.534929075 I2
0	0	1	0		
-34.48250055	-1.05520045	12.0474298 I1
0	0	1	0		
-4.1215005	-10.9582003	-24.03607005 I1
0	0	1	0		
23.00900025	-3.94970115	-11.13206695 I1
0	0	1	0		
-4.3345018	6.19780175	-3.88656825 I1
0	0	1	0		
30.17750305	8.8877965	1.7724321 I1
0	0	2	0
35.20399995	9.55854625	16.91517998 I2
0	0	1	0		
-11.35450225	-21.2171992	29.1419313 I1
0	0	1	0		
26.00499485	21.8697988	-25.38556885 I1
0	0	1	0		
21.56099455	26.33279625	-12.4800703 I1
0	0	1	0		
-4.40650035	37.5172979	13.21993045 I1
0	0	1	0		
55.96700045	11.75830285	-3.79306625 I1
0	1	0	0
-31.4200006	-12.4892024	-25.5460723 V1
0	1	0	0
-18.5799966	-28.3281992	-9.56407 V1
0	1	0	0
-37.3910013	-24.1992014	-11.0980666 V1
0	1	0	0
-22.8870035	-24.0042018	-5.2140715 V1
0	1	0	0
-27.2240015	-22.6592005	-3.977072 V1
0	1	0	0
-15.757998	-14.1182002	-4.0520689 V1
0	2	0	0		
-23.7219987	-0.3521975	-1.7520697 V2
0	1	0	0
-20.0570016	4.5667974	-5.3910735 V1
0	1	0	0
-21.5590005	-11.2842005	-0.9100706 V1
0	1	0	0
-22.8920007	10.4107992	6.1949328 V1
0	1	0	0
18.6600012	11.6477987	-1.1210692 V1
0	1	0	0
-1.3920007	17.3808004	7.6389329 V1
0	2	0	0		
45.84150455	14.60329645	4.6959283 V2

23
12
0	0	1	0		
-19.79790145	20.03910525	-29.46527935 I1
0	0	1	0		
-22.64789985	5.69960095	-15.2982795 I1
0	0	1	0		
-10.9729007	-2.7738983	-9.45077965 I1
0	0	2	0
-11.11065125	4.316351675	9.223719875 I2
0	0	1	0		
-26.8888972	33.10860135	12.14422155 I1
0	0	1	0		
-19.66239955	37.35809785	45.1337197 I1
0	0	1	0		
39.1331022	-41.66540075	-5.30878135 I1
0	0	1	0		
46.4726026	-11.5619003	-29.63228295 I1
0	0	1	0		
-8.32340265	-20.119899	-20.94678185 I1
0	0	1	0		
14.71309635	-3.00739975	-6.5037811 I1
0	0	1	0		
23.3520963	-20.14339755	1.9912217 I1
0	1	0	0
-19.8094027	-11.5654023	-26.8637778 V1
0	1	0	0
-12.5533984	18.393605	20.8632195 V1
0	1	0	0
-27.1984027	4.2216004	23.6102212 V1
0	1	0	0
40.4345929	-20.1833984	-15.1947791 V1
0	1	0	0
27.6586072	-13.0983994	-7.8887794 V1
0	1	0	0
-4.0084002	-1.5544007	-2.2037818 V1
0	1	0	0
-2.5044024	-5.8054	-0.6207816 V1
0	1	0	0
0.3395993	-3.019397	7.6322167 V1
0	1	0	0
17.6516034	-11.3653977	10.555221 V1
0	1	0	0
-6.8134005	10.0356033	20.7582238 V1
0	1	0	0
3.0416028	17.1935928	22.0192178 V1
0	1	0	0
-2.5513995	5.6135986	25.1122201 V1

30
18
0	0	1	0		
-35.80869825	-8.33319855	-38.9676032 I1
0	0	1	0		
-28.65120085	7.4938011	-20.1171012 I1
0	0	1	0		
-32.9251991	6.19230265	21.52289815 I1
0	0	1	0		
-31.6237007	16.0762977	2.83239985 I1
0	0	1	0		
-12.95269925	-13.7252007	-47.5095992 I1
0	0	1	0		
-20.22269965	-21.17670065	-34.82710025 I1
0	0	1	0		
-20.1507011	-6.7652016	-34.62909845 I1
0	0	1	0		
18.71530005	-8.2587014	-4.3760963 I1
0	0	2	0
26.7175469	-1.952949575	23.94014598 I2
0	0	4	0
31.23492665	-5.628949213	47.74777651 I4
0	0	1	0		
-15.901197	14.60730355	-32.97959655 I1
0	0	1	0		
12.99380345	14.76079935	-21.5491004 I1
0	0	1	0		
-2.8346954	41.9552955	-11.5170989 I1
0	0	1	0		
18.76529545	23.26679605	30.2253976 I1
0	1	0	0
-35.7606978	-25.2636986	-67.3125968 V1
0	1	0	0
-33.0037017	-19.8616982	-55.997602 V1
0	1	0	0
-21.5707031	-13.929699	-44.5116019 V1
0	1	0	0
-18.7986998	0.3293037	-27.3395972 V1
0	1	0	0
-12.9637008	-5.3726998	-24.5526023 V1
0	1	0	0
-14.5926987	1.8743018	-8.7756019 V1
0	1	0	0
-5.8047042	4.6212959	-3.0405936 V1
0	1	0	0
-5.8977066	7.5943031	-0.2175956 V1
0	1	0	0
-18.718698	-5.4957009	3.9703927 V1
0	1	0	0
2.7153	-6.9156991	5.7123971 V1
0	1	0	0
12.8583054	-5.3866997	6.8823953 V1
0	1	0	0
-5.7946944	-9.6526986	11.4524026 V1
0	3	0	0
16.28730123	-1.002033333	13.27973413 V3
0	1	0	0
18.6293015	3.3242988	12.7394052 V1
0	1	0	0
17.1632981	-0.9947015	25.740397 V1
0	1	0	0
17.119307	-1.2057	31.4504037 V1

26
15
0	0	1	0		
-27.9887999	-5.51259955	-61.68200085 I1
0	0	1	0		
-6.6388014	-27.0601002	-17.14050075 I1
0	0	1	0		
-9.2157973	7.37639655	-17.13450015 I1
0	0	1	0		
-15.1883009	-4.1190983	-5.60399785 I1
0	0	1	0		
-33.87630065	26.3599018	-29.90350125 I1
0	0	1	0		
