122.286

14

139
102
0	0	18	0
21.9980388250	0.9192885519	1.1054935033	I18
0	0	7	0
26.0562861857	4.2992747139	3.4303905689	I7
0	0	5	0
18.4688595560	-5.4585589743	-2.5292157940	I5
0	0	2	0
26.5875503550	4.4010099647	3.0573544860	I2
0	0	2	0
18.9910995500	-2.5623895403	1.3165044160	I2
0	0	2	0
16.3007003800	4.0845113997	-1.8486948640	I2
0	0	2	0
16.6172500650	3.7679601947	-1.8486948640	I2
0	0	2	0
21.9980491650	0.2862608147	0.5252049760	I2
0	0	2	0
26.5875503550	4.7175108247	3.3738553360	I2
0	0	2	0
21.3649993950	7.5662115397	4.9564557460	I2
0	0	1	0
12.4233993500	-6.7562394903	0.9208043460	I1
0	0	1	0
12.4233993500	-6.4397401603	1.2374043760	I1
0	0	1	0
15.5884994600	-11.1875390803	-4.7764948540	I1
0	0	1	0
17.1710998600	-6.7562394903	-5.7259958940	I1
0	0	1	0
17.1710998600	-6.4397401603	-5.4094950340	I1
0	0	1	0
11.1572990400	-3.5911386303	-4.4599955240	I1
0	0	1	0
17.8042007400	-1.3754388603	-5.7259958940	I1
0	0	1	0
18.4371994000	-4.8571389903	-3.1938959740	I1
0	0	1	0
21.2858993600	1.1566610597	0.9208043460	I1
0	0	1	0
21.2858993600	1.4731603897	1.5539052360	I1
0	0	1	0
17.8042007400	-6.1232393003	-6.0425944040	I1
0	0	1	0
21.6024017300	0.8401601997	0.2878041560	I1
0	0	1	0
22.2354003900	0.5236608697	-0.0286951740	I1
0	0	1	0
22.5518997200	-7.0728395203	-1.6112955740	I1
0	0	1	0
22.8684997600	-7.7058290203	-1.2947947140	I1
0	0	1	0
23.1850006200	4.3218603397	6.6182057760	I1
0	0	1	0
24.4511001600	3.6888601597	0.6043050160	I1
0	0	1	0
24.7676010200	3.6888601597	0.2878041560	I1
0	0	1	0
24.7676010200	3.6888601597	1.5539052360	I1
0	0	1	0
24.7676010200	4.0053625297	1.8704045660	I1
0	0	1	0
25.7170990000	7.8035604697	1.8704045660	I1
0	0	1	0
26.0337005600	4.0053625297	2.8200047860	I1
0	0	1	0
1.1869400000	13.6591619697	14.6894048060	I1
0	0	1	0
11.9486000100	-6.5980394003	1.3956044560	I1
0	0	1	0
14.7972000200	-3.1163385103	-9.9990450540	I1
0	0	1	0
15.7468002300	-7.5475389203	-3.3521952240	I1
0	0	1	0
15.7468002300	-7.5475389203	-0.8199946040	I1
0	0	1	0
17.3294006400	-7.5475389203	-5.8842951440	I1
0	0	1	0
17.3294006400	-3.4328393703	2.9782048560	I1
0	0	1	0
17.6458999700	-7.5475389203	-5.5677950540	I1
0	0	1	0
17.6458999700	-5.9649392803	-5.5677950540	I1
0	0	1	0
17.6458999700	-0.9006387403	-5.2512949640	I1
0	0	1	0
17.9623992900	-7.5475389203	-7.1503954440	I1
0	0	1	0
17.9623992900	-5.3319391003	-2.7190958640	I1
0	0	1	0
17.9623992900	-1.8502389703	-6.2007952340	I1
0	0	1	0
18.2789001500	-7.5475389203	-6.8338953640	I1
0	0	1	0
18.2789001500	-5.3319391003	-3.0355951940	I1
0	0	1	0
18.2789001500	3.2140600397	10.2581059760	I1
0	0	1	0
18.5955001800	-7.5475389203	-8.0998949640	I1
0	0	1	0
19.5449997000	0.6818609497	-6.2007952340	I1
0	0	1	0
20.8110992400	-5.6484391903	-0.1869959540	I1
0	0	1	0
21.4440994300	-7.8640893703	-0.8199946040	I1
0	0	1	0
22.0771987900	-7.5475389203	-1.4529947840	I1
0	0	1	0
22.0771987900	-7.2310388303	-1.1364954640	I1
0	0	1	0
22.3936996600	-7.5475389203	-1.1364954640	I1
0	0	1	0
22.3936996600	0.0488607697	0.4461049360	I1
0	0	1	0
22.7102005000	4.7966604597	6.7764027960	I1
0	0	1	0
24.6093002300	3.5305608997	2.0287053460	I1
0	0	1	0
24.6093002300	4.1636602697	0.1295049060	I1
0	0	1	0
